NAME,URL,Job,Person,Year
Banque Franco-Tunisienne de Prêts mobiliers et Monts-de-Piété de Tunisie,https://dfih.fr/issuers/10029,Administrateur,Alphonse Leprou,1912
Banque Franco-Tunisienne de Prêts mobiliers et Monts-de-Piété de Tunisie,https://dfih.fr/issuers/10029,Administrateur,Gaston Rivière,1912
Banque Franco-Tunisienne de Prêts mobiliers et Monts-de-Piété de Tunisie,https://dfih.fr/issuers/10029,Administrateur,Gustave Homberger,1912
Banque Franco-Tunisienne de Prêts mobiliers et Monts-de-Piété de Tunisie,https://dfih.fr/issuers/10029,Administrateur,Léon Rigal,1912
Société de Tamera,https://dfih.fr/issuers/10894,Administrateur Délégué,J. Granjon,1933
Société de Tamera,https://dfih.fr/issuers/10894,Administrateur Délégué,L. Pinchart,1933
Société de Tamera,https://dfih.fr/issuers/10894,Président,Ch. Bastit,1933
Société de Tamera,https://dfih.fr/issuers/10894,Administrateur,E. Raynal,1933
Société de Tamera,https://dfih.fr/issuers/10894,Administrateur,J. Saint,1933
Société de Tamera,https://dfih.fr/issuers/10894,Administrateur,Jean Brugère,1933
Société de Tamera,https://dfih.fr/issuers/10894,Administrateur,S.-H. O'Callaghan,1933
Société de Tamera,https://dfih.fr/issuers/10894,Administrateur,S.-N. Martyn,1933
Société de Tamera,https://dfih.fr/issuers/10894,Administrateur,T.-J Callaghan,1933
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Président,P. Hackenberger,1940
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,F. Flury-Hérard,1940
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,J. Lecoq,1940
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,J. Mancy,1940
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,Joseph Thuillier,1940
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,Michel Propper,1940
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,H. Hackenberger,1945
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,M. Bonfils,1945
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Commissaire des comptes,Joseph Choppin Haudry de Janvry,1945
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,M. Bonflls,1948
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,Robert Flury-Hérard,1948
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Président,Robert Flury-Hérard,1953
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,J. Lecoq,1953
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,Joseph Thuillier,1953
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,M. Bonfils,1953
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,P. Eclancher,1953
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Administrateur,Philippe du Boys,1953
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Commissaire des comptes,L. Aguesse,1953
Société immobilière tunisienne,https://dfih.fr/issuers/11442,Commissaire des comptes,R. Wilhelm,1953
Crédit Foncier de Tunisie,https://dfih.fr/issuers/1745,Administrateur Délégué,Gustave Homberger,1908
Crédit Foncier de Tunisie,https://dfih.fr/issuers/1745,Président,Jacques de Lapisse,1908
Crédit Foncier de Tunisie,https://dfih.fr/issuers/1745,Directeur,Daret Derville de Champsoin,1908
Crédit Foncier de Tunisie,https://dfih.fr/issuers/1745,Vice-Président,Alfred Bergaud,1908
Crédit Foncier de Tunisie,https://dfih.fr/issuers/1745,Censeur,de Thezillat-Chalusset,1908
Crédit Foncier de Tunisie,https://dfih.fr/issuers/1745,Censeur,Léon Labbé,1908
Crédit Foncier de Tunisie,https://dfih.fr/issuers/1745,Administrateur,Amedée Descubes,1908
Crédit Foncier de Tunisie,https://dfih.fr/issuers/1745,Administrateur,comte J. de Chabannes La Palice,1908
Crédit Foncier de Tunisie,https://dfih.fr/issuers/1745,Administrateur,Ernest Seydoux,1908
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Emmanuel Gesana,1888
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,J. Cesana,1888
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Président,Gabriel Germain Halphen,1893
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,E. Cesana,1893
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,J. Gesana,1893
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Siegfried Propper,1903
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur Délégué,Charles Durand,1908
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Président,Siegfried Propper,1908
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Fortin-Herrmann,1908
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Commissaire des comptes,A. Luini,1908
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Commissaire des comptes,Michel Propper,1908
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Edouard Dupasseur,1912
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Siegfried Propper,1912
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,J. Siegler,1917
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,M. Durand,1917
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Siegfried Propper,1917
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,J. Siegler,1923
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Siegfried Propper,1923
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,J. Siegler,1927
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Robert Flury-Hérard,1927
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Siegfried Propper,1927
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,A. Petsche,1933
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,G. Magnier,1933
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,J. Lecoq,1933
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,P. Hackenberger,1933
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Robert Flury-Hérard,1933
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Siegfried Propper,1933
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,H. Hackenberger,1940
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,J. Lecoq,1940
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,J. Mancy,1940
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Joseph Thuillier,1940
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,P. Hackenberger,1940
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Robert Flury-Hérard,1940
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur Délégué,Bonfiis du Boys,1945
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Lecoq,1945
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,P. Hackenberger,1945
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Commissaire des comptes,G. de Pardieu,1945
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Commissaire des comptes,R. Wilhelm,1945
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur Délégué,M. Bonfils,1948
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Eclangher,1948
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,M. Bonfils,1948
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Commissaire des comptes,P. Wilhelm,1948
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur Délégué,Philippe du Boys,1953
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Président,Robert Flury-Hérard,1953
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,J. Lecoq,1953
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,Joseph Thuillier,1953
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,M. Bonflis,1953
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Administrateur,P. Eclancher,1953
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Commissaire des comptes,L. Aguesse,1953
Compagnie du Gaz et des Eaux de Tunis,https://dfih.fr/issuers/2559,Commissaire des comptes,R. Wilhelm,1953
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Baldauff,1923
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,baron Alfred Ancion,1923
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Léon Boulle,1927
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Louis Guary,1927
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Maurice Renaud,1927
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Pavie,1927
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Schelle,1927
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Président,Léon Boulle,1933
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Vice-Président,Louis Guary,1933
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,A. Bride,1933
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Brugère,1933
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,G. Rosenwald,1933
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Jean Autin,1933
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Louis Goury du Roslan,1933
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Vice-Président,G. Rosenwald,1940
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Jean Autin,1940
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Louis Guary,1940
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Roger Jean Célian Goury du Roslan,1940
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Commissaire des comptes,V. Pinson,1940
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Président,Léon Boulle,1945
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Vice-Président,Jean Autin,1945
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Président,J. Autm,1948
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Vice-Président,C. Toché,1948
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,A. Remaugé,1948
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,R. Ménétrier,1948
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Vice-Président,A. Remaugé,1953
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Président directeur général,C. Toché,1953
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,J. Ottoz,1953
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,J. Paul,1953
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Jean Brugère,1953
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,Maurice Pesson Didion,1953
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Administrateur,René Boulle,1953
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Commissaire des comptes,A. Méchin,1953
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Commissaire des comptes,Henry Picquet,1953
Compagnie des Tramways de Tunis,https://dfih.fr/issuers/2648,Vice Président Directeur Général,R. Ménétrier,1953
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,J. Toeplitz,1912
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Louis Cahen d'Anvers,1912
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Albert Galicier,1917
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,E. Bellot,1917
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,J. Donegani,1917
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,J. Toeplitz,1917
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Magno-Magni,1917
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,B. Bellot,1923
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Gustave Dmeïani,1923
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,J. Toeplitz,1923
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,A Gaiicier,1927
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Ch. Michel,1927
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Charles Cahen d'Anvers,1927
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Donat Agache,1927
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Gustavo Donegani,1927
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Guy Donegani,1927
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,J. Toeplitz,1927
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Jean Chevalier (place de la Nation),1927
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,L. Michaux,1927
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Léon Mougeot,1927
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,P. Bursaux,1927
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,vicomte Le Bourdais des Touches,1927
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Y. Le Trocquer,1927
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Vice-Président,L. de Seynes,1933
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Président directeur général,Guido Donegani,1933
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,de Seynes,1933
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,F. David,1933
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Frédéric Manaut,1933
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,J. Toeplitz,1933
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,P. Burseaux,1933
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Y. Le Trocquer,1933
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Président,L. de Seynes,1940
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Vice-Président,Rodolphe d'Adler,1940
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur Directeur,P. Bursaux,1940
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,de Chambrun,1940
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,E. Mezzena,1940
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,François Louis Marie Urruty,1940
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,J. Maroger,1940
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Commissaire des comptes,Brichant,1940
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Commissaire des comptes,Lemarchand,1940
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Cte G.Moucada,1945
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,L. Gerbella,1945
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Marcel Fraenkel,1945
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Commissaire des comptes,A. Marcantonio,1945
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Commissaire des comptes,Lemarehand,1945
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,B. Bricard,1948
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Cte Ch. de Chambrun,1948
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Gabriel Arnou,1948
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,R. Dautry,1948
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Président,J. Maroger,1953
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Vice-Président,Cte Ch. de Chambrun,1953
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,A. Rossi,1953
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,G. Malvezzi,1953
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Gustave Mercier,1953
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,L. Lupo,1953
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Louis Bricard,1953
Société des Phosphates Tunisiens,https://dfih.fr/issuers/2873,Administrateur,Pierre Gillet(2),1953
